Product ID;Attributes;Values;Reference;Impact on price;Quantity;Default;Image URLs (x,y,z...)
4778;Uk³ad:select:0;5H:0;PP-RM4778A_5H;140,00;0;0;https://artb2b.pl/plugin/art_gal/image/m/0/0.975/0/0/0/0/1/0/2/2/1600/11/miniature-1-RM4778A_5H.jpg,https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4778A_5H.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/room/1586/room-1586-RM4778A_5H.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/frameset/frameset-31.png?size=1600&ratio=11
4778;Uk³ad:select:0;5A:0;PP-RM4778A_5A;0,00;0;1;https://artb2b.pl/plugin/art_gal/image/m/0/0.975/0/0/0/0/1/0/2/2/1600/11/miniature-1-RM4778A_5A.jpg,https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4778A_5A.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/room/1586/room-1586-RM4778A_5A.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/frameset/frameset-2.png?size=1600&ratio=11
4778;Uk³ad:select:0;1Z:0;PP-RM4778A_1Z;0,00;0;0;https://artb2b.pl/plugin/art_gal/image/m/0/0.975/0/0/0/0/1/0/2/2/1600/11/miniature-1-RM4778A_1Z.jpg,https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4778A_1Z.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/room/1586/room-1586-RM4778A_1Z.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/frameset/frameset-98.png?size=1600&ratio=11
4778;Uk³ad:select:0;5B:0;PP-RM4778A_5B;40,00;0;0;https://artb2b.pl/plugin/art_gal/image/m/0/0.975/0/0/0/0/1/0/2/2/1600/11/miniature-1-RM4778A_5B.jpg,https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4778A_5B.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/room/1586/room-1586-RM4778A_5B.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/frameset/frameset-3.png?size=1600&ratio=11
4778;Uk³ad:select:0;1AB:0;PP-RM4778A_1AB;0,00;0;0;https://artb2b.pl/plugin/art_gal/image/m/0/0.975/0/0/0/0/1/0/2/2/1600/11/miniature-1-RM4778A_1AB.jpg,https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4778A_1AB.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/room/1586/room-1586-RM4778A_1AB.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/frameset/frameset-106.png?size=1600&ratio=11
4778;Uk³ad:select:0;1B:0;PP-RM4778A_1B;105,00;0;0;https://artb2b.pl/plugin/art_gal/image/m/0/0.975/0/0/0/0/1/0/2/2/1600/11/miniature-1-RM4778A_1B.jpg,https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4778A_1B.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4778A_1B.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/frameset/frameset-6.png?size=1600&ratio=11
4778;Uk³ad:select:0;1AS:0;PP-RM4778A_1AS;105,00;0;0;https://artb2b.pl/plugin/art_gal/image/m/0/0.975/0/0/0/0/1/0/2/2/1600/11/miniature-1-RM4778A_1AS.jpg,https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4778A_1AS.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/room/1586/room-1586-RM4778A_1AS.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/frameset/frameset-139.png?size=1600&ratio=11
4856;Uk³ad:select:0;1AS:0;PP-RM4856B_1AS;0,00;0;0;https://artb2b.pl/plugin/art_gal/image/m/0/0.975/0/0/0/0/1/0/2/2/1600/11/miniature-1-RM4856B_1AS.jpg,https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4856B_1AS.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/room/1586/room-1586-RM4856B_1AS.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/frameset/frameset-139.png?size=1600&ratio=11
4856;Uk³ad:select:0;1AB:0;PP-RM4856A_1AB;-105,00;0;0;https://artb2b.pl/plugin/art_gal/image/m/0/0.975/0/0/0/0/1/0/2/2/1600/11/miniature-1-RM4856A_1AB.jpg,https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4856A_1AB.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/room/1586/room-1586-RM4856A_1AB.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/frameset/frameset-106.png?size=1600&ratio=11
4856;Uk³ad:select:0;5B:0;PP-RM4856A_5B;-65,00;0;0;https://artb2b.pl/plugin/art_gal/image/m/0/0.975/0/0/0/0/1/0/2/2/1600/11/miniature-1-RM4856A_5B.jpg,https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4856A_5B.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/room/1586/room-1586-RM4856A_5B.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/frameset/frameset-3.png?size=1600&ratio=11
4856;Uk³ad:select:0;1Z:0;PP-RM4856A_1Z;-105,00;0;0;https://artb2b.pl/plugin/art_gal/image/m/0/0.975/0/0/0/0/1/0/2/2/1600/11/miniature-1-RM4856A_1Z.jpg,https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4856A_1Z.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/room/1586/room-1586-RM4856A_1Z.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/frameset/frameset-98.png?size=1600&ratio=11
4856;Uk³ad:select:0;1B:0;PP-RM4856A_1B;0,00;0;1;https://artb2b.pl/plugin/art_gal/image/m/0/0.975/0/0/0/0/1/0/2/2/1600/11/miniature-1-RM4856A_1B.jpg,https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4856A_1B.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4856A_1B.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/frameset/frameset-6.png?size=1600&ratio=11
4856;Uk³ad:select:0;5A:0;PP-RM4856A_5A;-105,00;0;0;https://artb2b.pl/plugin/art_gal/image/m/0/0.975/0/0/0/0/1/0/2/2/1600/11/miniature-1-RM4856A_5A.jpg,https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4856A_5A.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/room/1586/room-1586-RM4856A_5A.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/frameset/frameset-2.png?size=1600&ratio=11
4856;Uk³ad:select:0;5H:0;PP-RM4856A_5H;35,00;0;0;https://artb2b.pl/plugin/art_gal/image/m/0/0.975/0/0/0/0/1/0/2/2/1600/11/miniature-1-RM4856A_5H.jpg,https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4856A_5H.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/room/1586/room-1586-RM4856A_5H.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/frameset/frameset-31.png?size=1600&ratio=11
4856;Uk³ad:select:0;1AS:0;PP-RM4856A_1AS;0,00;0;0;https://artb2b.pl/plugin/art_gal/image/m/0/0.975/0/0/0/0/1/0/2/2/1600/11/miniature-1-RM4856A_1AS.jpg,https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4856A_1AS.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/room/1586/room-1586-RM4856A_1AS.jpg?size=1600&ratio=11,https://artb2b.pl/plugin/art_gal/image/frameset/frameset-139.png?size=1600&ratio=11
