id;code;name;description;price_with_tax;tax;purchase_price;categories;variants;features;images;tags
262889;PP-RM4778A_5H;"Maki w świetle księżyca";;460.00;23;284.2277;"Obraz malowany/Kwiaty|Obraz malowany/Rośliny|Obraz malowany/Reprodukcje malarstwa";;"name=Układ;value=5H|name=Szerokość [cm];value=150|name=Wysokość [cm];value=105|name=Źródło;value=4778|name=Liczba elementów;value=5";https://artb2b.pl/plugin/art_gal/image/m/0/0.975/0/0/0/0/1/0/2/2/1600/11/miniature-1-RM4778A_5H.jpg|https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4778A_5H.jpg?size=1600&ratio=11|https://artb2b.pl/plugin/art_gal/image/room/1586/room-1586-RM4778A_5H.jpg?size=1600&ratio=11|https://artb2b.pl/plugin/art_gal/image/frameset/frameset-31.png?size=1600&ratio=11;"Kwiaty|Maki|Rośliny|Reprodukcje malarstwa|Czerwony|Niebieski|Zielony|Biały"
262890;PP-RM4778A_5A;"Maki w świetle księżyca";;320.00;23;197.7236;"Obraz malowany/Kwiaty|Obraz malowany/Rośliny|Obraz malowany/Reprodukcje malarstwa";;"name=Układ;value=5A|name=Szerokość [cm];value=100|name=Wysokość [cm];value=70|name=Źródło;value=4778|name=Liczba elementów;value=5";https://artb2b.pl/plugin/art_gal/image/m/0/0.975/0/0/0/0/1/0/2/2/1600/11/miniature-1-RM4778A_5A.jpg|https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4778A_5A.jpg?size=1600&ratio=11|https://artb2b.pl/plugin/art_gal/image/room/1586/room-1586-RM4778A_5A.jpg?size=1600&ratio=11|https://artb2b.pl/plugin/art_gal/image/frameset/frameset-2.png?size=1600&ratio=11;"Kwiaty|Maki|Rośliny|Reprodukcje malarstwa|Czerwony|Niebieski|Zielony|Biały"
262892;PP-RM4778A_1Z;"Maki w świetle księżyca";;320.00;23;197.7236;"Obraz malowany/Kwiaty|Obraz malowany/Rośliny|Obraz malowany/Reprodukcje malarstwa";;"name=Układ;value=1Z|name=Szerokość [cm];value=100|name=Wysokość [cm];value=70|name=Źródło;value=4778|name=Liczba elementów;value=1";https://artb2b.pl/plugin/art_gal/image/m/0/0.975/0/0/0/0/1/0/2/2/1600/11/miniature-1-RM4778A_1Z.jpg|https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4778A_1Z.jpg?size=1600&ratio=11|https://artb2b.pl/plugin/art_gal/image/room/1586/room-1586-RM4778A_1Z.jpg?size=1600&ratio=11|https://artb2b.pl/plugin/art_gal/image/frameset/frameset-98.png?size=1600&ratio=11;"Kwiaty|Maki|Rośliny|Reprodukcje malarstwa|Czerwony|Niebieski|Zielony|Biały"
262893;PP-RM4778A_5B;"Maki w świetle księżyca";;360.00;23;222.4390;"Obraz malowany/Kwiaty|Obraz malowany/Rośliny|Obraz malowany/Reprodukcje malarstwa";;"name=Układ;value=5B|name=Szerokość [cm];value=150|name=Wysokość [cm];value=70|name=Źródło;value=4778|name=Liczba elementów;value=5";https://artb2b.pl/plugin/art_gal/image/m/0/0.975/0/0/0/0/1/0/2/2/1600/11/miniature-1-RM4778A_5B.jpg|https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4778A_5B.jpg?size=1600&ratio=11|https://artb2b.pl/plugin/art_gal/image/room/1586/room-1586-RM4778A_5B.jpg?size=1600&ratio=11|https://artb2b.pl/plugin/art_gal/image/frameset/frameset-3.png?size=1600&ratio=11;"Kwiaty|Maki|Rośliny|Reprodukcje malarstwa|Czerwony|Niebieski|Zielony|Biały"
262894;PP-RM4778A_1AB;"Maki w świetle księżyca";;320.00;23;197.7236;"Obraz malowany/Kwiaty|Obraz malowany/Rośliny|Obraz malowany/Reprodukcje malarstwa";;"name=Układ;value=1AB|name=Szerokość [cm];value=70|name=Wysokość [cm];value=100|name=Źródło;value=4778|name=Liczba elementów;value=1";https://artb2b.pl/plugin/art_gal/image/m/0/0.975/0/0/0/0/1/0/2/2/1600/11/miniature-1-RM4778A_1AB.jpg|https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4778A_1AB.jpg?size=1600&ratio=11|https://artb2b.pl/plugin/art_gal/image/room/1586/room-1586-RM4778A_1AB.jpg?size=1600&ratio=11|https://artb2b.pl/plugin/art_gal/image/frameset/frameset-106.png?size=1600&ratio=11;"Kwiaty|Maki|Rośliny|Reprodukcje malarstwa|Czerwony|Niebieski|Zielony|Biały"
263728;PP-RM4778A_1B;"Maki w świetle księżyca";;425.00;23;248.7805;"Obraz malowany/Kwiaty|Obraz malowany/Rośliny|Obraz malowany/Reprodukcje malarstwa";;"name=Układ;value=1B|name=Szerokość [cm];value=120|name=Wysokość [cm];value=80|name=Źródło;value=4778|name=Liczba elementów;value=1";https://artb2b.pl/plugin/art_gal/image/m/0/0.975/0/0/0/0/1/0/2/2/1600/11/miniature-1-RM4778A_1B.jpg|https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4778A_1B.jpg?size=1600&ratio=11|https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4778A_1B.jpg?size=1600&ratio=11|https://artb2b.pl/plugin/art_gal/image/frameset/frameset-6.png?size=1600&ratio=11;"Kwiaty|Maki|Rośliny|Reprodukcje malarstwa|Czerwony|Niebieski|Zielony|Biały"
263729;PP-RM4778A_1AS;"Maki w świetle księżyca";;425.00;23;248.7805;"Obraz malowany/Kwiaty|Obraz malowany/Rośliny|Obraz malowany/Reprodukcje malarstwa";;"name=Układ;value=1AS|name=Szerokość [cm];value=115|name=Wysokość [cm];value=85|name=Źródło;value=4778|name=Liczba elementów;value=1";https://artb2b.pl/plugin/art_gal/image/m/0/0.975/0/0/0/0/1/0/2/2/1600/11/miniature-1-RM4778A_1AS.jpg|https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4778A_1AS.jpg?size=1600&ratio=11|https://artb2b.pl/plugin/art_gal/image/room/1586/room-1586-RM4778A_1AS.jpg?size=1600&ratio=11|https://artb2b.pl/plugin/art_gal/image/frameset/frameset-139.png?size=1600&ratio=11;"Kwiaty|Maki|Rośliny|Reprodukcje malarstwa|Czerwony|Niebieski|Zielony|Biały"
263719;PP-RM4856B_1AS;"Błękitna dama";;425.00;23;248.7805;"Obraz malowany/Ludzie|Obraz malowany/Abstrakcje|Obraz malowany/Reprodukcje malarstwa";;"name=Układ;value=1AS|name=Szerokość [cm];value=115|name=Wysokość [cm];value=85|name=Źródło;value=4856|name=Liczba elementów;value=1";https://artb2b.pl/plugin/art_gal/image/m/0/0.975/0/0/0/0/1/0/2/2/1600/11/miniature-1-RM4856B_1AS.jpg|https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4856B_1AS.jpg?size=1600&ratio=11|https://artb2b.pl/plugin/art_gal/image/room/1586/room-1586-RM4856B_1AS.jpg?size=1600&ratio=11|https://artb2b.pl/plugin/art_gal/image/frameset/frameset-139.png?size=1600&ratio=11;"Ludzie|Abstrakcje|Reprodukcje malarstwa|Biały|Niebieski|Granatowy|Beżowy"
263718;PP-RM4856A_1AB;"Błękitna dama";;320.00;23;197.7236;"Obraz malowany/Ludzie|Obraz malowany/Abstrakcje|Obraz malowany/Reprodukcje malarstwa";;"name=Układ;value=1AB|name=Szerokość [cm];value=70|name=Wysokość [cm];value=100|name=Źródło;value=4856|name=Liczba elementów;value=1";https://artb2b.pl/plugin/art_gal/image/m/0/0.975/0/0/0/0/1/0/2/2/1600/11/miniature-1-RM4856A_1AB.jpg|https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4856A_1AB.jpg?size=1600&ratio=11|https://artb2b.pl/plugin/art_gal/image/room/1586/room-1586-RM4856A_1AB.jpg?size=1600&ratio=11|https://artb2b.pl/plugin/art_gal/image/frameset/frameset-106.png?size=1600&ratio=11;"Ludzie|Abstrakcje|Reprodukcje malarstwa|Biały|Niebieski|Granatowy|Beżowy"
263717;PP-RM4856A_5B;"Błękitna dama";;360.00;23;222.4390;"Obraz malowany/Ludzie|Obraz malowany/Abstrakcje|Obraz malowany/Reprodukcje malarstwa";;"name=Układ;value=5B|name=Szerokość [cm];value=150|name=Wysokość [cm];value=70|name=Źródło;value=4856|name=Liczba elementów;value=5";https://artb2b.pl/plugin/art_gal/image/m/0/0.975/0/0/0/0/1/0/2/2/1600/11/miniature-1-RM4856A_5B.jpg|https://artb2b.pl/plugin/art_gal/image/room/1588/room-1588-RM4856A_5B.jpg?size=1600&ratio=11|https://artb2b.pl/plugin/art_gal/image/room/1586/room-1586-RM4856A_5B.jpg?size=1600&ratio=11|https://artb2b.pl/plugin/art_gal/image/frameset/frameset-3.png?size=1600&ratio=11;"Ludzie|Abstrakcje|Reprodukcje malarstwa|Biały|Niebieski|Granatowy|Beżowy"
